title,definition,year,Cluster,Notes
"Antifragile, sustainable and agile healthcare waste chain network design by considering blockchain, resiliency, robustness and risk","While resiliency and robustness emphasize maintaining the status quo and only show flexibility in reaction to disturbances without actively seeking improvement, antifragility emphasizes improvement and learning from disruptions.",2025,"F2, P3","This def only received a P4 bc, it mentions learning, but it does not say or imply learning through small interative randomness that builds internal strength."
"Synergistic Closedâ€Loop Supply Chain Network Design by Considering Robustness, Risk: An Automotive Case Study",Antifragility is achieved by designing the system to benefit from disruptions,2025,F2  ,
The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,"1. “Supply chain antifragility has emerged as a way of not only managing disruptions but also leveraging them as opportunities for growth.”
2. “Antifragile supply chains not only withstand volatility and shocks but also thrive and improve from such disturbances.”
3. “Unlike robustness and resilience, which aim to withstand or return to a pre-shock state, antifragility suggests a capacity for evolutionary improvement in the face of adversity.”",2025,"F2, F4, P1B",
Crisis Response Modes in Collaborative Business Ecosystems: A Mathematical Framework from Plasticity to Antifragility,“Antifragility has been conceptually defined in terms of convex responses and asymmetric gains under stress.”,2025,P1C,
Antifragility and organizations: an organizational design perspective,"Antifragility refers to a system’s ability to benefit from disruptions and volatility—managing disturbances not only by enduring stress but by learning, adapting, and profiting from it.",2025,"F2, F3, P1B","This paper almost perfectly aligns with C1 minus the convex response which leads to asymmetry of gains.  The robustness may be implied and they may not fully realize that extent of needed robustness, but it is mentioned as needs and will add more complexity to the system"
Antifragility model development for businesses in the cosmetics industry,"“The concept of antifragility, introduced by Taleb (2012), offers a strategic alternative by proposing that businesses can improve and expand when exposed to volatility.”",2025,F2,
Building an antifragile supply chain: A capability blueprint for resilience and postâ€disruption growth,"1. “Antifragility … is focused specifically on growth. It posits that a system can strengthen and grow through exposure to volatility and shocks, analogous to muscle growth through exercise.”
2. “An antifragile supply chain is one that derives gains—both financial and non-financial—from disruption.”",2024,F2,
Transport collaboration network among competitors to improve supply chain antifragility,"Antifragility emphasizes the capacity of business ecosystems to become more resilient in the face of VUCA events, fostering adaptability, flexibility, and learning from disruptions within the supply chain.",2024,"F5, P3, P4",
Evaluation of Critical Success Factors for Antifragile Supply Chains Using Delphi and Fuzzy QFD Methods,"1. “Antifragility characterizes systems that benefit from volatility and chaos, demonstrating enhanced performance when exposed to significant and seemingly unlikely variations in parameters.”
2. “While antifragility includes the aspect of robustness, which entails recovering from shocks, it goes further by striving to achieve an even higher level of performance subsequent to such shocks.”
3. “This emerging concept aims to endure extreme events … fostering learning, adaptation, and the exploitation of opportunities to enhance performance and foster growth.”",2024,"F2, P1B, F3, F4","These set of definitions are almost complete, except when it mentions learning, it does not state that the system learns from small variation in order to build internal strength.  This is the only thing that keeps it from getting full status for clusters 1 and 4."
Introducing Antifragility Analysis Algorithm for Assessing Digitalization Strategies of the Agricultural Economy in the Small Farming Section,"1. “Antifragility refers to when a system benefits from the variability of its environment, and fragility refers to when it suffers.”
2. “The ability to deal with uncertainty completely and internally consistently is an essential characteristic of antifragility.”",2024,"F2, P3","""Deal with uncertainty"" implies adapting."
Betting on the future: how to build antifragility in innovative start-up companies,"1. “Antifragility implies the tendency of an organization to improve its own competitive position in the face of a crisis, while resilience does not.”
2. “An antifragile firm benefits from disorder.”",2024,"F2, F2",
Navigating Uncertainties in the Built Environment: Reevaluating Antifragile Planning in the Anthropocene through a Posthumanist Lens,"“Taleb’s theory of antifragility describes a system’s ability to withstand stress and change caused by capital, large-scale, and massive events, that are largely unpredictable; nonetheless, at the core of antifragility is the idea of thriving and improving in response to various kinds of shocks.”",2024,"F2, P1A",
THE EFFECT OF DIGITAL GOVERNANCE TO STIMULATE THE ANTIFRAGILE CAPABILITIES OF PUBLIC SECTOR ORGANIZATIONS,"1. “Taleb… suggested establishing a robust yet transformative and emergent environment, which equips the system with the knowledge and capacity to deal with and capitalize on uncertainty.”
2. “Antifragile organizations are better prepared to respond to crises and emerge more robust… transforming [risks] into opportunities.”",2024,"F2, P1B, P3",
"From Industry 4.0 Digital Manufacturing to Industry 5.0 Digital Society: a Roadmap Toward Human-Centric, Sustainable, and Resilient Production",No definition,2024,F6,
"Significant Leap In The Industrial Revolution From Industry 4.0 To Industry 5.0: Needs, Problems, And Driving Forces","“Antifragility, a critical characteristic of systems that thrive under stress, shocks, errors, and failures, will play a pivotal role in ensuring adaptability and robustness in the face of global challenges, such as climate change and biodiversity issues.”",2024,F5,"The ""ensuring adaptability and robustness"" implies AF is an extension of RE. The focus is on maintaining the stability and survivability of RO and AD."
Data-driven digital transformation and the implications for antifragility in the humanitarian supply chain,“Antifragility goes beyond resilience by proposing that systems have the potential to not just survive but also flourish and gain advantages from these very disruptions.”,2023,"F2, P5",
"Antifragile, sustainable, and agile supply chain network design by considering resiliency, robustness, risk, and environmental requirements","1. “Antifragility is a new concept that designers of SCND increase the capability of facilities to cope with types of disruptions like stressors, fluctuations, volatility, and shocks.” 2. “The resilient policy is flexible against shocks and back to normal mode, but the antifragility concept utilizes disruptions and moves to improvement.”",2023,"F5, F4",
