definition_id,title,year,definition_number,definition,convexity,asymmetry,protective_rore,iterative_learning,adaptive_restructuring,growth_through_disorder,rore_extended,adaptability_framed
2ee4ba68-4946-4048-aaff-c1081a7a1b05,"Antifragile, sustainable and agile healthcare waste chain network design by considering blockchain, resiliency, robustness and risk",2025,,"While resiliency and robustness emphasize maintaining the status quo and only show flexibility in reaction to disturbances without actively seeking improvement, antifragility emphasizes improvement and learning from disruptions.",0,0,1,0,0,1,1,0
695c9bc6-696d-4385-8900-c8e549746b7f,"Synergistic Closedâ€Loop Supply Chain Network Design by Considering Robustness, Risk: An Automotive Case Study",2025,,Antifragility is achieved by designing the system to benefit from disruptions,0,0,1,0,0,1,0,0
efa494d3-90f0-42e0-a51d-ebcd3a4a7279,The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,1.0,“Supply chain antifragility has emerged as a way of not only managing disruptions but also leveraging them as opportunities for growth.”,0,0,0,0,0,1,0,0
65953560-f20f-4ee9-9738-6ccabed77521,The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,2.0,“Antifragile supply chains not only withstand volatility and shocks but also thrive and improve from such disturbances.”,0,0,0,0,0,0,0,0
f4229895-e22e-4296-a43b-35e5c5797c77,The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,3.0,"“Unlike robustness and resilience, which aim to withstand or return to a pre-shock state, antifragility suggests a capacity for evolutionary improvement in the face of adversity.”",0,0,1,0,0,1,1,0
0e0a71e9-61d4-4dd9-8b39-5ed65a2fd893,Crisis Response Modes in Collaborative Business Ecosystems: A Mathematical Framework from Plasticity to Antifragility,2025,,“Antifragility has been conceptually defined in terms of convex responses and asymmetric gains under stress.”,0,1,0,0,0,0,1,0
dc5d04a3-0d52-4932-8c02-91b98367b0df,Antifragility and organizations: an organizational design perspective,2025,,"Antifragility refers to a system’s ability to benefit from disruptions and volatility—managing disturbances not only by enduring stress but by learning, adapting, and profiting from it.",0,0,1,0,0,1,1,0
ed4357fe-4476-4d8d-b113-0dce12c6f012,Antifragility model development for businesses in the cosmetics industry,2025,,"“The concept of antifragility, introduced by Taleb (2012), offers a strategic alternative by proposing that businesses can improve and expand when exposed to volatility.”",0,0,0,0,0,1,0,0
6add07cf-fc78-4271-bd14-0a14f57d3c66,Building an antifragile supply chain: A capability blueprint for resilience and postâ€disruption growth,2024,1.0,"“Antifragility … is focused specifically on growth. It posits that a system can strengthen and grow through exposure to volatility and shocks, analogous to muscle growth through exercise.”",0,0,0,0,0,1,0,0
2d374f8d-35d7-4bac-925a-94a223660f07,Building an antifragile supply chain: A capability blueprint for resilience and postâ€disruption growth,2024,2.0,“An antifragile supply chain is one that derives gains—both financial and non-financial—from disruption.”,0,0,0,0,0,1,0,0
6c3c6b70-6129-4132-87b5-8a726b52c549,Transport collaboration network among competitors to improve supply chain antifragility,2024,,"Antifragility emphasizes the capacity of business ecosystems to become more resilient in the face of VUCA events, fostering adaptability, flexibility, and learning from disruptions within the supply chain.",0,0,0,0,0,0,0,0
e8f72717-909e-436a-bee0-7c37624964b8,Evaluation of Critical Success Factors for Antifragile Supply Chains Using Delphi and Fuzzy QFD Methods,2024,1.0,"“Antifragility characterizes systems that benefit from volatility and chaos, demonstrating enhanced performance when exposed to significant and seemingly unlikely variations in parameters.”",0,1,0,0,0,1,0,0
464c57c5-8f58-4f4d-80b3-28e57a2de33a,Evaluation of Critical Success Factors for Antifragile Supply Chains Using Delphi and Fuzzy QFD Methods,2024,2.0,"“While antifragility includes the aspect of robustness, which entails recovering from shocks, it goes further by striving to achieve an even higher level of performance subsequent to such shocks.”",0,1,1,0,0,1,0,0
b94c0db4-7dff-4dd4-aa2b-ca89e9993824,Evaluation of Critical Success Factors for Antifragile Supply Chains Using Delphi and Fuzzy QFD Methods,2024,3.0,"“This emerging concept aims to endure extreme events … fostering learning, adaptation, and the exploitation of opportunities to enhance performance and foster growth.”",0,0,0,1,0,0,1,0
a98d7283-1b6f-4db3-8c65-c1fef9113856,Introducing Antifragility Analysis Algorithm for Assessing Digitalization Strategies of the Agricultural Economy in the Small Farming Section,2024,1.0,"“Antifragility refers to when a system benefits from the variability of its environment, and fragility refers to when it suffers.”",0,0,0,0,0,0,0,0
909523c2-0d70-4faa-a67e-3c31c0e39d28,Introducing Antifragility Analysis Algorithm for Assessing Digitalization Strategies of the Agricultural Economy in the Small Farming Section,2024,2.0,“The ability to deal with uncertainty completely and internally consistently is an essential characteristic of antifragility.”,0,0,0,0,0,1,0,0
00b2e96a-3d0e-431f-b056-631f9e931a1d,Betting on the future: how to build antifragility in innovative start-up companies,2024,1.0,"“Antifragility implies the tendency of an organization to improve its own competitive position in the face of a crisis, while resilience does not.”",0,0,1,0,0,0,1,0
c39b292e-5bb0-4b62-b89c-843b3c6608df,Betting on the future: how to build antifragility in innovative start-up companies,2024,2.0,“An antifragile firm benefits from disorder.”,0,0,0,0,0,1,0,0
2871d7da-6225-4bb1-a909-667610193c92,Navigating Uncertainties in the Built Environment: Reevaluating Antifragile Planning in the Anthropocene through a Posthumanist Lens,2024,,"“Taleb’s theory of antifragility describes a system’s ability to withstand stress and change caused by capital, large-scale, and massive events, that are largely unpredictable; nonetheless, at the core of antifragility is the idea of thriving and improving in response to various kinds of shocks.”",0,0,0,0,0,1,1,0
7f973828-c98c-401a-b9d5-e0910c44a2b4,THE EFFECT OF DIGITAL GOVERNANCE TO STIMULATE THE ANTIFRAGILE CAPABILITIES OF PUBLIC SECTOR ORGANIZATIONS,2024,1.0,"“Taleb… suggested establishing a robust yet transformative and emergent environment, which equips the system with the knowledge and capacity to deal with and capitalize on uncertainty.”",0,0,0,1,1,1,0,0
f2b4decb-a8da-40a1-9c8f-43556e09b78e,THE EFFECT OF DIGITAL GOVERNANCE TO STIMULATE THE ANTIFRAGILE CAPABILITIES OF PUBLIC SECTOR ORGANIZATIONS,2024,2.0,“Antifragile organizations are better prepared to respond to crises and emerge more robust… transforming [risks] into opportunities.”,0,0,1,0,0,1,0,0
7fa31771-afd2-4e87-ab4a-00ba6b1b20ab,"Significant Leap In The Industrial Revolution From Industry 4.0 To Industry 5.0: Needs, Problems, And Driving Forces",2024,,"“Antifragility, a critical characteristic of systems that thrive under stress, shocks, errors, and failures, will play a pivotal role in ensuring adaptability and robustness in the face of global challenges, such as climate change and biodiversity issues.”",0,0,1,0,0,0,1,0
249e5eb0-65e0-44e7-a4ea-02708721f18e,Data-driven digital transformation and the implications for antifragility in the humanitarian supply chain,2023,,“Antifragility goes beyond resilience by proposing that systems have the potential to not just survive but also flourish and gain advantages from these very disruptions.”,0,0,1,0,0,1,1,0
60c468e6-73d9-4595-ace0-d89e84d0c1a7,"Antifragile, sustainable, and agile supply chain network design by considering resiliency, robustness, risk, and environmental requirements",2023,1.0,"“Antifragility is a new concept that designers of SCND increase the capability of facilities to cope with types of disruptions like stressors, fluctuations, volatility, and shocks.” 2. “The resilient policy is flexible against shocks and back to normal mode, but the antifragility concept utilizes disruptions and moves to improvement.”",0,0,0,0,0,1,0,0
