title,year,definition_number,definition,louvain_cluster_convex response,louvain_cluster_convex payoff,louvain_cluster_positive convexity,louvain_cluster_volatility convexity,louvain_cluster_asymmetric response,louvain_cluster_asymmetric gains under stress,louvain_cluster_more upside than downside from shocks,louvain_cluster_spectrum detection via asymmetry,louvain_cluster_upside gain vs degradation,louvain_cluster_performance imbalance under adversity,louvain_cluster_protective robustness,louvain_cluster_withstand,louvain_cluster_protective resilience,louvain_cluster_recovery,louvain_cluster_manage,louvain_cluster_copes,louvain_cluster_iterative learning,louvain_cluster_learn growth,louvain_cluster_learn better,louvain_cluster_internal growth,louvain_cluster_internal better,louvain_cluster_knowledge growth,louvain_cluster_knowledge better,louvain_cluster_adaptive restructuring,louvain_cluster_adapt improve,louvain_cluster_adapt grow,louvain_cluster_flexible improve,louvain_cluster_flexible grow,louvain_cluster_regenerate improve,louvain_cluster_regenerate grow,louvain_cluster_benefit disruption,louvain_cluster_benefit random,louvain_cluster_benefit volatility,louvain_cluster_benefit stress,louvain_cluster_benefit adversity,louvain_cluster_benefit variability,louvain_cluster_benefit crisis,louvain_cluster_benefit disorder,louvain_cluster_benefit shock,louvain_cluster_benefit uncertainty,louvain_cluster_benefit perturbation,louvain_cluster_improve disruption,louvain_cluster_improve random,louvain_cluster_improve volatility,louvain_cluster_improve stress,louvain_cluster_improve adversity,louvain_cluster_improve variability,louvain_cluster_improve crisis,louvain_cluster_improve disorder,louvain_cluster_improve shock,louvain_cluster_improve uncertainty,louvain_cluster_improve perturbation,louvain_cluster_opportunity disruption,louvain_cluster_opportunity random,louvain_cluster_opportunity volatility,louvain_cluster_opportunity stress,louvain_cluster_opportunity adversity,louvain_cluster_opportunity variability,louvain_cluster_opportunity crisis,louvain_cluster_opportunity disorder,louvain_cluster_opportunity shock,louvain_cluster_opportunity uncertainty,louvain_cluster_opportunity perturbation,louvain_cluster_growth disruption,louvain_cluster_growth random,louvain_cluster_growth volatility,louvain_cluster_growth stress,louvain_cluster_growth adversity,louvain_cluster_growth variability,louvain_cluster_growth crisis,louvain_cluster_growth disorder,louvain_cluster_growth shock,louvain_cluster_growth uncertainty,louvain_cluster_growth perturbation,louvain_cluster_profiting disruption,louvain_cluster_profiting random,louvain_cluster_profiting volatility,louvain_cluster_profiting stress,louvain_cluster_profiting adversity,louvain_cluster_profiting variability,louvain_cluster_profiting crisis,louvain_cluster_profiting disorder,louvain_cluster_profiting shock,louvain_cluster_profiting uncertainty,louvain_cluster_profiting perturbation,louvain_cluster_gains disruption,louvain_cluster_gains random,louvain_cluster_gains volatility,louvain_cluster_gains stress,louvain_cluster_gains adversity,louvain_cluster_gains variability,louvain_cluster_gains crisis,louvain_cluster_gains disorder,louvain_cluster_gains shock,louvain_cluster_gains uncertainty,louvain_cluster_gains perturbation,louvain_cluster_thrive disruption,louvain_cluster_thrive random,louvain_cluster_thrive volatility,louvain_cluster_thrive stress,louvain_cluster_thrive adversity,louvain_cluster_thrive variability,louvain_cluster_thrive crisis,louvain_cluster_thrive disorder,louvain_cluster_thrive shock,louvain_cluster_thrive uncertainty,louvain_cluster_thrive perturbation,louvain_cluster_capitalize disruption,louvain_cluster_capitalize random,louvain_cluster_capitalize volatility,louvain_cluster_capitalize stress,louvain_cluster_capitalize adversity,louvain_cluster_capitalize variability,louvain_cluster_capitalize crisis,louvain_cluster_capitalize disorder,louvain_cluster_capitalize shock,louvain_cluster_capitalize uncertainty,louvain_cluster_capitalize perturbation,louvain_cluster_flourish disruption,louvain_cluster_flourish random,louvain_cluster_flourish volatility,louvain_cluster_flourish stress,louvain_cluster_flourish adversity,louvain_cluster_flourish variability,louvain_cluster_flourish crisis,louvain_cluster_flourish disorder,louvain_cluster_flourish shock,louvain_cluster_flourish uncertainty,louvain_cluster_flourish perturbation,louvain_cluster_get better disruption,louvain_cluster_get better random,louvain_cluster_get better volatility,louvain_cluster_get better stress,louvain_cluster_get better adversity,louvain_cluster_get better variability,louvain_cluster_get better crisis,louvain_cluster_get better disorder,louvain_cluster_get better shock,louvain_cluster_get better uncertainty,louvain_cluster_get better perturbation,louvain_cluster_stronger disruption,louvain_cluster_stronger random,louvain_cluster_stronger volatility,louvain_cluster_stronger stress,louvain_cluster_stronger adversity,louvain_cluster_stronger variability,louvain_cluster_stronger crisis,louvain_cluster_stronger disorder,louvain_cluster_stronger shock,louvain_cluster_stronger uncertainty,louvain_cluster_stronger perturbation,louvain_cluster_adapt,louvain_cluster_flexible,louvain_cluster_regenerate,louvain_cluster_more resilient,louvain_cluster_more robust,louvain_cluster_survive,louvain_cluster_increases in resilience,match_convexity,score_convexity,match_asymmetry,score_asymmetry,match_protective_robustness,score_protective_robustness,match_iterative_learning,score_iterative_learning,match_adaptive_restructuring,score_adaptive_restructuring,match_growth_through_disorder,score_growth_through_disorder,match_adaptability-oriented,score_adaptability-oriented,match_resilience-oriented,score_resilience-oriented
"Antifragile, sustainable and agile healthcare waste chain network design by considering blockchain, resiliency, robustness and risk",2025,,"While resiliency and robustness emphasize maintaining the status quo and only show flexibility in reaction to disturbances without actively seeking improvement, antifragility emphasizes improvement and learning from disruptions.",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,False,0,False,0,True,2,False,0,False,0,True,3,False,0,True,2
"Synergistic Closedâ€Loop Supply Chain Network Design by Considering Robustness, Risk: An Automotive Case Study",2025,,Antifragility is achieved by designing the system to benefit from disruptions,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,True,2,False,0,False,0,True,3,False,0,False,0
The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,1.0,“Supply chain antifragility has emerged as a way of not only managing disruptions but also leveraging them as opportunities for growth.”,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,True,9,False,0,False,0
The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,2.0,“Antifragile supply chains not only withstand volatility and shocks but also thrive and improve from such disturbances.”,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
The implications of Industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,3.0,"“Unlike robustness and resilience, which aim to withstand or return to a pre-shock state, antifragility suggests a capacity for evolutionary improvement in the face of adversity.”",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,False,0,False,0,True,2,False,0,False,0,True,3,False,0,True,2
Crisis Response Modes in Collaborative Business Ecosystems: A Mathematical Framework from Plasticity to Antifragility,2025,,“Antifragility has been conceptually defined in terms of convex responses and asymmetric gains under stress.”,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,True,1
Antifragility and organizations: an organizational design perspective,2025,,"Antifragility refers to a system’s ability to benefit from disruptions and volatility—managing disturbances not only by enduring stress but by learning, adapting, and profiting from it.",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,False,0,False,0,True,1,False,0,False,0,True,2,False,0,True,1
Antifragility model development for businesses in the cosmetics industry,2025,,"“The concept of antifragility, introduced by Taleb (2012), offers a strategic alternative by proposing that businesses can improve and expand when exposed to volatility.”",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0
Building an antifragile supply chain: A capability blueprint for resilience and postâ€disruption growth,2024,1.0,"“Antifragility … is focused specifically on growth. It posits that a system can strengthen and grow through exposure to volatility and shocks, analogous to muscle growth through exercise.”",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0
Building an antifragile supply chain: A capability blueprint for resilience and postâ€disruption growth,2024,2.0,“An antifragile supply chain is one that derives gains—both financial and non-financial—from disruption.”,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,False,0,False,0,False,0,False,0,False,0,True,4,False,0,False,0
