source,target,weight
0e0a71e9-61d4-4dd9-8b39-5ed65a2fd893,31ba1971-4215-4530-ab2c-351d98ffb2ee,0.5
0e0a71e9-61d4-4dd9-8b39-5ed65a2fd893,5054d98a-41d0-46d3-acf3-bb4c8a5e9044,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,dc5d04a3-0d52-4932-8c02-91b98367b0df,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,2ee4ba68-4946-4048-aaff-c1081a7a1b05,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,efa494d3-90f0-42e0-a51d-ebcd3a4a7279,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,65953560-f20f-4ee9-9738-6ccabed77521,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,f4229895-e22e-4296-a43b-35e5c5797c77,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,6add07cf-fc78-4271-bd14-0a14f57d3c66,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,e8f72717-909e-436a-bee0-7c37624964b8,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,00b2e96a-3d0e-431f-b056-631f9e931a1d,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,a98d7283-1b6f-4db3-8c65-c1fef9113856,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,c39b292e-5bb0-4b62-b89c-843b3c6608df,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,2d374f8d-35d7-4bac-925a-94a223660f07,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,f2b4decb-a8da-40a1-9c8f-43556e09b78e,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,464c57c5-8f58-4f4d-80b3-28e57a2de33a,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,13c3cccd-c17e-487f-bbfd-8f26054927c4,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,8fd14b86-478d-4039-bd09-ce02845fd59b,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,249e5eb0-65e0-44e7-a4ea-02708721f18e,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,f710a8e3-d2c2-48ef-9210-54a32db6e095,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,21f9aa40-523e-4a1f-8339-fd8bcb266b30,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,9c7aadd7-1b14-4ed9-bff5-7a9e251d2d96,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,aedde037-b445-4d46-98d5-e800705d85f5,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,60c468e6-73d9-4595-ace0-d89e84d0c1a7,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,6455a701-fa4f-4f14-9c4e-fcc4bb7fe11e,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,e17605a7-c483-4f4c-a1f9-86d4833ee9e9,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,715ee7f1-60db-410a-8a79-0fe297c19a12,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,2fd81a93-e5fb-40fb-b3ed-9c12e05ea9a4,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,cda02efe-b78d-4e9a-869b-56541c07f43a,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,b9d69db2-1c75-452c-9b7b-269736172921,0.5
695c9bc6-696d-4385-8900-c8e549746b7f,cdf15aa7-b357-4c10-9a81-69ef12584add,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,087a7ec6-058a-4c49-b498-c56adb9d36e9,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,990c3b73-5206-41a0-a36e-14aa34cce447,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,2f3e0d1c-f437-415b-940f-51f201363b7c,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,4f563db4-07fe-459c-a700-b88964d01628,1.0
695c9bc6-696d-4385-8900-c8e549746b7f,a3d44d3e-6f3d-4fdf-bc7e-dc2c29bdedba,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,2ee4ba68-4946-4048-aaff-c1081a7a1b05,0.5
dc5d04a3-0d52-4932-8c02-91b98367b0df,efa494d3-90f0-42e0-a51d-ebcd3a4a7279,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,65953560-f20f-4ee9-9738-6ccabed77521,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,f4229895-e22e-4296-a43b-35e5c5797c77,0.5
dc5d04a3-0d52-4932-8c02-91b98367b0df,6add07cf-fc78-4271-bd14-0a14f57d3c66,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,e8f72717-909e-436a-bee0-7c37624964b8,0.5
dc5d04a3-0d52-4932-8c02-91b98367b0df,00b2e96a-3d0e-431f-b056-631f9e931a1d,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,a98d7283-1b6f-4db3-8c65-c1fef9113856,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,c39b292e-5bb0-4b62-b89c-843b3c6608df,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,2d374f8d-35d7-4bac-925a-94a223660f07,1.0
dc5d04a3-0d52-4932-8c02-91b98367b0df,f2b4decb-a8da-40a1-9c8f-43556e09b78e,0.5
